id,label,subcategory,franchise,fandom_wiki,requested_page,resolved_page,status,source_page,image_file,local_path,resolution_method,original_width,original_height,saved_width,saved_height,error,notes
character-animated-miguel,Miguel,animated-characters,Pixar,pixar,Miguel,Miguel Rivera,downloaded,https://pixar.fandom.com/wiki/Miguel_Rivera,File:Miguel-0.png,C:/Users/Lukeo/OneDrive/Desktop/website project/mrsmith/assets/images/clue-items/characters/animated-characters/character-animated-miguel.webp,portable-infobox,373,580,373,580,,
character-animated-shrek,Shrek,animated-characters,DreamWorks,dreamworks,Shrek,Shrek (franchise),downloaded,https://dreamworks.fandom.com/wiki/Shrek_(franchise),File:The Shrek franchise.jpg,C:/Users/Lukeo/OneDrive/Desktop/website project/mrsmith/assets/images/clue-items/characters/animated-characters/character-animated-shrek.webp,portable-infobox,1200,1390,1036,1200,,
character-animated-princess-fiona,Princess Fiona,animated-characters,DreamWorks,dreamworks,Princess Fiona,Fiona,downloaded,https://dreamworks.fandom.com/wiki/Fiona,File:Fiona Profile.jpg,C:/Users/Lukeo/OneDrive/Desktop/website project/mrsmith/assets/images/clue-items/characters/animated-characters/character-animated-princess-fiona.webp,portable-infobox,714,714,714,714,,
character-animated-donkey,Donkey,animated-characters,DreamWorks,dreamworks,Donkey,Donkey,downloaded,https://dreamworks.fandom.com/wiki/Donkey,File:Donkey Profile.jpg,C:/Users/Lukeo/OneDrive/Desktop/website project/mrsmith/assets/images/clue-items/characters/animated-characters/character-animated-donkey.webp,portable-infobox,973,1073,973,1073,,
character-animated-puss-in-boots,Puss in Boots,animated-characters,DreamWorks,dreamworks,Puss in Boots,Puss in Boots,downloaded,https://dreamworks.fandom.com/wiki/Puss_in_Boots,File:Puss in Boots Profile.jpg,C:/Users/Lukeo/OneDrive/Desktop/website project/mrsmith/assets/images/clue-items/characters/animated-characters/character-animated-puss-in-boots.webp,portable-infobox,798,834,798,834,,
character-animated-po,Po,animated-characters,DreamWorks,dreamworks,Po,Po,downloaded,https://dreamworks.fandom.com/wiki/Po,File:Po Profile.jpg,C:/Users/Lukeo/OneDrive/Desktop/website project/mrsmith/assets/images/clue-items/characters/animated-characters/character-animated-po.webp,portable-infobox,892,810,892,810,,
character-animated-toothless,Toothless,animated-characters,DreamWorks,dreamworks,Toothless,Toothless,downloaded,https://dreamworks.fandom.com/wiki/Toothless,File:Toothless Profile.jpg,C:/Users/Lukeo/OneDrive/Desktop/website project/mrsmith/assets/images/clue-items/characters/animated-characters/character-animated-toothless.webp,portable-infobox,1070,1070,1070,1070,,
character-animated-hiccup,Hiccup,animated-characters,DreamWorks,dreamworks,Hiccup,Hiccup's Shield,downloaded,https://dreamworks.fandom.com/wiki/Hiccup's_Shield,Hiccup%27s_Shield.png,C:/Users/Lukeo/OneDrive/Desktop/website project/mrsmith/assets/images/clue-items/characters/animated-characters/character-animated-hiccup.webp,portable-infobox,268,146,268,146,,
character-animated-alex-the-lion,Alex the Lion,animated-characters,DreamWorks,dreamworks,Alex the Lion,Alex (Madagascar),downloaded,https://dreamworks.fandom.com/wiki/Alex_(Madagascar),File:Alex Profile.jpg,C:/Users/Lukeo/OneDrive/Desktop/website project/mrsmith/assets/images/clue-items/characters/animated-characters/character-animated-alex-the-lion.webp,portable-infobox,1080,1080,1080,1080,,
character-animated-king-julien,King Julien,animated-characters,DreamWorks,dreamworks,King Julien,King Julien the 13th,downloaded,https://dreamworks.fandom.com/wiki/King_Julien_the_13th,File:King Julien Profile.jpeg,C:/Users/Lukeo/OneDrive/Desktop/website project/mrsmith/assets/images/clue-items/characters/animated-characters/character-animated-king-julien.webp,portable-infobox,997,1068,997,1068,,
